Lab_No,Sex,Age,Town,Range,Section,Tag_Date,TB+
216300,male,2.5,29N,06E,26,2003-11-22,Pos
27421,female,2.5,28N,06E,1,1999-10-17,Pos
236684,male,2.5,28N,06E,22,2003-11-23,Pos
230848,male,2.5,29N,05E,27,2006-11-18,Pos
256349,male,2.5,29N,05E,28,2005-11-20,Pos
257196,female,5.5,27N,07E,1,2005-11-16,Pos
216262,male,2.5,30N,05E,14,2003-11-21,Pos
253903,male,5.5,30N,05E,9,2004-11-19,Pos
238075,male,2.5,29N,04E,9,2003-11-30,Pos
21779 (16764),male,2.5,28N,04E,7,1999-11-16,Pos
213551,male,1.5,31N,06E,28,2002-11-17,Pos
236702,male,3.5,28N,06E,5,2003-11-22,Pos
216552,male,3.5,27N,06E,31,2006-11-25,Pos
2133,male,2.5,29N,04E,9,1998-11-16,Pos
2137,male,2.5,29N,04E,9,1998-11-15,Pos
268086,male,1.5,30N,06E,23,2006-11-17,Pos
260077,male,2.5,31N,05E,34,2005-10-26,Pos
233315,male,3.5,28N,04E,2,2003-11-17,Pos
256431,male,3.5,27N,05E,10,2006-11-18,Pos
254593,female,2.5,26N,07E,5,2004-11-18,Pos
213260,male,1.5,30N,05E,35,2002-11-23,Pos
257137,male,5.5,28N,06E,8,2004-11-18,Pos
269881,male,3.5,29N,04E,11,2004-11-18,Pos
252758,male,3.5,30N,05E,22,2006-11-16,Pos
236733,male,2.5,29N,05E,11,2003-11-20,Pos
213201,male,3.5,29N,04E,16,2002-11-25,Pos
269715,male,3.5,28N,04E,25,2004-11-22,Pos
236428,male,4.5,27N,05E,5,2005-11-20,Pos
27352,female,5.5,27N,05E,8,1999-11-27,Pos
252970,male,2.5,29N,04E,3,2006-11-18,Pos
238058,female,3.5,28N,05E,12,2003-12-05,Pos
257423,male,2.5,29N,05E,23,2004-11-20,Pos
213544,male,2.5,28N,06E,13,2002-11-17,Pos
245816,male,3.5,27N,07E,18,2003-12-02,Pos
213539,male,5.5,28N,06E,8,2002-11-16,Pos
228401,male,4.5,28N,04E,22,Q,Pos
274002,male,3.5,29N,04E,9,2005-11-19,Pos
252929,female,1.5,30N,06E,28,2006-11-18,Pos
268510,female,10.5,31N,05E,26,2007-11-18,Pos
260661,male,2.5,28N,04E,21,2006-12-06,Pos
230921,male,1.5,27N,05E,12,2006-11-17,Pos
218491,male,2.5,28N,07E,32,2002-11-20,Pos
244773,male,3.5,28N,07E,29,2003-11-17,Pos
228022,male,1.5,29N,04E,10,2002-11-18,Pos
233405,male,4.5,29N,05E,30,2003-11-18,Pos
233625,male,3.5,29N,04E,23,2003-12-02,Pos
228492,male,2.5,30N,04E,33,2002-11-21,Pos
269515,female,3.5,28N,04E,27,2004-12-17,Pos
228959,female,1.5,29N,04E,24,2012-11-24,Pos
253231,male,3.5,29N,04E,9,2004-11-27,Pos
2134,male,2.5,29N,04E,9,1998-11-16,Pos
239036,male,3.5,29N,05E,15,2003-11-24,Pos
27418,female,1.5,27N,07E,20,1999-10-17,Pos
260091,male,2.5,30N,05E,35,2005-11-09,Pos
265780,female,5.5,27N,07E,19,2004-11-21,Pos
2673,female,4.5,29N,04E,31,1998-11-27,Pos
233171,male,2.5,30N,05E,31_32_or_33,2003-11-25,Pos
217215,male,3.5,30N,06E,32,2006-12-08,Pos
236787,male,2.5,28N,04E,15,2003-11-19,Pos
268187,male,2.5,28N,03E,25,2007-11-26,Pos
213952,male,3.5,28N,06E,9,2002-11-18,Pos
251687,male,2.5,29N,05E,33,2009-11-29,Pos
230638,female,6.5,28N,04E,18,2005-12-28,Pos
267205,female,2.5,28N,07E,17,2005-11-28,Pos
217221,male,2.5,28N,06E,5,2006-12-11,Pos
217263,male,2.5,31N,05E,34,2006-11-29,Pos
23181,female,9.5,29N,04E,28,1999-11-30,Pos
231858,male,2.5,31N,05E,29,2003-11-16,Pos
271206,male,3.5,29N,04E,26,2004-12-07,Pos
267154,male,4.5,27N,06E,20,2018-11-26,Pos
225195,male,3.5,30N,05E,22,2006-11-20,Pos
225406,male,2.5,27N,06E,11,2002-11-17,Pos
230717,female,5.5,29N,05E,25,2006-11-21,Pos
213918,male,2.5,27N,07E,32,2002-11-23,Pos
225369,male,1.5,30N,05E,14,2006-11-25,Pos
315093,male,5.5,28N,04E,28,2017-11-18,Pos
312856,male,3.5,28N,04E,13,2006-11-20,Pos
330647,female,8.5,28N,06E,16,2010-11-24,Pos
315430,male,3.5,28N,06E,3,2009-11-15,Pos
315425,male,2.5,27N,05E,1,2009-11-16,Pos
315118,male,2.5,28N,05E,3,2017-11-25,Pos
315117,male,2.5,27N,06E,18,2017-11-16,Pos
315095,male,4.5,28N,04E,21,2017-11-26,Pos
337656,male,2.5,29N,06E,20,2014-11-24,Pos
30740,female,2.5,29N,06E,12,1999-10-24,Pos
332377,male,4.5,29N,04E,26,2013-01-04,Pos
278783,female,2.5,28N,04E,17,2008-11-21,Pos
314962,female,8.5,29N,04E,3,2013-11-18,Pos
338791,male,2.5,30N,06E,9,2011-11-23,Pos
314942,female,4,27N,07E,23,2012-09-26,Pos
314939,female,Q,28N,06E,26,2013-01-08,Pos
311502,female,1.5,28N,06E,26,2003-10-17,Pos
278610,male,3.5,28N,04E,28,2008-11-17,Pos
315094,male,4.5,28N,04E,23,2017-11-19,Pos
281174,male,3.5,28N,05E,36,2007-11-17,Pos
333184,male,6.5,28N,04E,13,2013-12-02,Pos
312848,male,4.5,28N,07E,3,2004-10-04,Pos
312849,male,2.5,26N,07E,3,2004-11-16,Pos
316989,male,3.5,28N,05E,14,2015-11-23,Pos
290806,male,3.5,28N,06E,3,2010-11-20,Pos
316988,female,4.5,30N,06E,23,2015-11-20,Pos
30709,female,3.5,28N,06E,10,1999-10-20,Pos
315433,male,3.5,27N,04E,15,2008-11-17,Pos
332999,female,4.5,27N,05E,3,2011-10-23,Pos
314859,male,3.5,28N,05E,4,2015-11-15,Pos
316985,male,2.5,29N,06E,22,2015-11-15,Pos
312850,male,4.5,29N,05E,27,2004-11-18,Pos
290813,male,1.5,30N,05E,24,2010-11-21,Pos
312853,male,3.5,28N,06E,34,2006-11-17,Pos
315439,male,3.5,29N,05E,32,2018-11-21,Pos
315438,male,4.5,28N,05E,6,2018-11-16,Pos
315436,male,4.5,26N,06E,2,2018-11-17,Pos
293561,female,9.5,29N,05E,18,2008-11-18,Pos
312952,female,4,27N,05E,24,2018-09-23,Pos
312854,male,3.5,28N,06E,26,2006-11-18,Pos
308541,male,2.5,27N,07E,9,2003-11-07,Pos
339498,female,4.5,29N,04E,28,2012-12-03,Pos
287627,male,2.5,28N,05E,19,2007-11-18,Pos
281040,male,2.5,27N,06E,20,2007-11-20,Pos
312893,male,4.5,27N,04E,2,2010-11-15,Pos
340504,female,5,28N,04E,27,2011-09-19,Pos
294785,male,3.5,29N,06E,36,2009-11-19,Pos
312948,male,3.5,28N,04E,22,2006-11-15,Pos
333141,male,2.5,27N,05E,14,2012-11-16,Pos
312967,male,1.5,27N,07E,29,2007-11-21,Pos
312966,female,3.5,29N,06E,5,2007-11-20,Pos
287667,male,3.5,27N,05E,2,2007-11-17,Pos
332615,male,3.5,28N,05E,6,2013-11-26,Pos
331092,female,3.5,28N,06E,14,2010-12-20,Pos
312965,male,3.5,29N,05E,22,2007-11-18,Pos
312963,male,4.5,28N,04E,1,2018-10-20,Pos
312894,female,4.5,28N,03E,26,2010-11-22,Pos
287390,male,1.5,27N,04E,9,2013-11-16,Pos
285656,male,2.5,28N,06E,23,2010-11-17,Pos
314858,female,3.5,27N,03E,2,2018-11-18,Pos
314413,male,3.5,27N,07E,8,2007-11-20,Pos
283096,female,11.5,28N,04E,2,2017-11-15,Pos
312866,male,2.5,26N,07E,10,2004-11-15,Pos
312868,female,3.5,29N,07E,20,2006-12-29,Pos
291009,male,4.5,28N,04E,28,2011-11-15,Pos
312883,male,2.5,29N,05E,36,2010-11-21,Pos
313725,female,8.5,30N,06E,5,2018-11-19,Pos
285337,female,5.5,27N,07E,27,2013-12-03,Pos
312875,male,2.5,29N,05E,27,2008-11-15,Pos
312878,female,4.5,28N,06E,16,2003-11-17,Pos
313521,female,3.5,28N,03E,36,2005-11-12,Pos
313519,male,2.5,30N,05E,24,2006-11-16,Pos
278650,male,2.5,27N,04E,14,2008-11-18,Pos
312882,male,3.5,27N,07E,11,2010-11-15,Pos
280544,male,4.5,29N,04E,28,2006-12-13,Pos
313785,male,2.5,27N,07E,6,2008-11-19,Pos
292520,male,2.5,27N,07E,8,2008-11-19,Pos
292278,male,4.5,28N,05E,17,2008-11-17,Pos
3023 (11215),male,2.5,29N,05E,1,1998-11-15,Pos
312294,male,1.5,30N,06E,22,2002-11-17,Pos
312295,male,2.5,27N,07E,18,2002-11-19,Pos
330928,male,3.5,30N,06E,10,2012-11-19,Pos
275693,male,3.5,28N,05E,1,2010-11-19,Pos
312292,male,4.5,29N,06E,3,2002-11-19,Pos
312299,female,4.5,27N,07E,26,2003-12-28,Pos
332850,female,5.5,27N,07E,30,2011-10-15,Pos
312301,female,4.5,28N,04E,2,2002-11-16,Pos
280719,male,2.5,28N,04E,21,2006-11-06,Pos
312303,male,4.5,27N,04E,21,2002-11-23,Pos
292527,male,1.5,30N,05E,34,2008-11-19,Pos
292626,male,2.5,30N,05E,27,2008-11-21,Pos
312819,female,1.5,30N,05E,35,2005-11-18,Pos
312304,female,6.5,27N,07E,13,Q,Pos
312297,female,4.5,30N,05E,14,2002-12-21,Pos
280241,male,1.5,27N,04E,9,2006-11-18,Pos
291778,male,2.5,28N,03E,36,2009-11-15,Pos
280285,male,3.5,27N,04E,2,2006-11-17,Pos
338968,male,2.5,29N,06E,28,2011-11-21,Pos
293202,male,1.5,28N,06E,17,2008-11-22,Pos
312254,female,3.5,29N,04E,3,2011-11-27,Pos
33096,Q,Q,28N,07E,30,1999-11-20,Pos
340286,male,2.5,27N,04E,14,2013-11-15,Pos
312256,male,2.5,29N,05E,36,2004-11-16,Pos
312305,male,4.5,28N,07E,32,2005-11-16,Pos
312257,male,1.5,27N,06E,36,2002-11-18,Pos
281269,male,2.5,28N,06E,30,2006-11-22,Pos
277928,female,1.5,30N,06E,7,2008-12-03,Pos
291759,male,4.5,28N,05E,13,2010-11-17,Pos
280068,male,1.5,27N,04E,6,2006-11-18,Pos
