,TOWN,RANGE,SECTION,X,Y,Adj_ID
1,31N,08E,9,699550.9848,508286.6815,1
2,31N,08E,10,701131.24,508336.3353,2
3,31N,08E,8,697965.7587,508195.4,3
4,31N,08E,7,696344.2858,508135.4094,4
5,31N,07E,12,694732.6847,508085.6571,5
6,31N,07E,11,693141.5223,508011.1392,6
7,31N,04E,6,657818.1399,508173.5846,7
8,31N,07E,10,691536.8711,507945.0958,8
9,31N,03E,1,656271.9459,508104.4066,9
10,31N,07E,9,689933.6199,507882.4633,10
11,31N,03E,2,654654.9038,508051.8075,11
12,31N,07E,8,688329.418,507807.1193,12
13,31N,03E,3,653023.233,508002.7141,13
14,31N,03E,4,651395.3588,507949.8287,14
15,31N,07E,7,686732.2476,507755,15
16,31N,03E,5,649777.233,507900.1058,16
17,31N,06E,12,684995.8126,507749.244,17
18,31N,06E,9,680075.5784,507527.7992,18
19,31N,06E,10,681642.4851,507592.033,19
20,31N,06E,11,683257.9163,507638.5263,20
21,31N,06E,8,678464.6136,507425.8118,21
22,31N,06E,7,676972.2639,507365.8796,22
23,31N,05E,12,675485.1364,507321.7557,23
24,31N,05E,11,673880.3678,507256.9222,24
25,31N,05E,10,672275.5963,507195.4918,25
26,31N,05E,9,670663.3383,507147.1457,26
27,31N,05E,8,669049.5133,507093.8392,27
28,31N,05E,7,667418.0616,507011.8158,28
29,31N,04E,12,665790.9098,506948.1935,29
30,31N,04E,11,664196.3695,506922.6883,30
31,31N,04E,10,662598.7096,506883.8896,31
32,31N,04E,9,660993.1489,506843.08,32
33,31N,04E,8,659390.9427,506800.0849,33
34,31N,04E,7,657851.1582,506752.8687,34
35,31N,08E,15,701181.2331,506706.9623,35
36,31N,03E,12,656307.2937,506693.9782,36
37,31N,08E,16,699599.1397,506647.0073,37
38,31N,03E,11,654693.568,506634.3984,38
39,31N,03E,10,653078.4547,506577.1361,39
40,31N,08E,17,698016.7819,506580.649,40
41,31N,08E,18,696410.2562,506541.1172,41
42,31N,03E,9,651459.795,506513.8744,42
43,31N,07E,13,694806.5209,506471.1664,43
44,31N,03E,8,649845.2928,506453.1688,44
45,31N,07E,14,693210.004,506404.2411,45
46,31N,07E,15,691596.4812,506332.2043,46
47,31N,07E,16,689994.0186,506272.6008,47
48,31N,07E,17,688391.7411,506202.1038,48
49,31N,07E,18,686756.122,506152.4777,49
50,31N,06E,13,685099.8261,506131.3763,50
51,31N,06E,14,683481.914,506037.5588,51
52,31N,06E,15,681873.6907,505945.7619,52
53,31N,06E,16,680271.5839,505882.4933,53
54,31N,05E,14,673916.8894,505654.8934,54
55,31N,05E,15,672314.5692,505598.093,55
56,31N,05E,16,670704.6511,505552.5172,56
57,31N,05E,17,669097.5033,505499.8557,57
58,31N,05E,18,667470.8324,505422.8565,58
59,31N,04E,13,665842.5327,505422.9232,59
60,31N,04E,14,664243.7114,505373.5408,60
61,31N,04E,15,662644.4241,505323.5919,61
62,31N,04E,16,661040.2941,505266.4303,62
63,31N,04E,17,659434.5582,505208.5873,63
64,31N,04E,18,657884.8818,505150.9916,64
65,31N,03E,13,656337.753,505093.5379,65
66,31N,08E,21,699682.8939,505032.9329,66
67,31N,03E,14,654728.134,505026.9816,67
68,31N,08E,20,698081.6244,504972.9945,68
69,31N,03E,15,653123.8472,504962.0998,69
70,31N,08E,19,696495.9887,504920.5156,70
71,31N,03E,16,651525.2759,504905.6072,71
72,31N,07E,24,694895.3107,504858.4656,72
73,31N,03E,17,649915.0713,504848.6267,73
74,31N,07E,23,693276.8882,504784.0536,74
75,31N,07E,22,691662.2916,504724.6751,75
76,31N,07E,21,690063.7746,504658.2803,76
77,31N,07E,20,688458.2634,504598.0024,77
78,31N,07E,19,686824.9732,504535.7758,78
79,31N,06E,24,685203.4138,504477.4812,79
80,31N,06E,23,683602.9405,504409.2411,80
81,31N,06E,22,682000.0742,504344.7874,81
82,31N,06E,21,680399.6827,504283.2039,82
83,31N,05E,23,673866.1709,504054.2763,83
84,31N,05E,22,672347.5974,504010.3372,84
85,31N,05E,21,670749.3264,503962.3438,85
86,31N,05E,20,669146.9859,503903.8811,86
87,31N,04E,24,665899.2162,503840.8165,87
88,31N,05E,19,667523.0348,503835.7814,88
89,31N,04E,23,664293.115,503784.4344,89
90,31N,04E,22,662691.5476,503725.943,90
91,31N,04E,21,661091.1039,503668.1622,91
92,31N,04E,20,659483.8539,503605.1063,92
93,31N,04E,19,657919.7151,503543.8932,93
94,31N,03E,24,656362.5922,503486.9998,94
95,31N,03E,23,654757.0407,503423.1219,95
96,31N,03E,22,653152.0395,503349.9881,96
97,31N,08E,30,696579.9206,503306.2723,97
98,31N,03E,21,651550.28,503291.3078,98
99,31N,03E,20,649950.0297,503237.6635,99
100,31N,07E,25,694968.7698,503229.4728,100
101,31N,07E,26,693350.7233,503167.823,101
102,31N,07E,27,691742.6028,503103.9186,102
103,31N,07E,28,690141.971,503047.2062,103
104,31N,07E,29,688514.7491,502970.2346,104
105,31N,07E,30,686887.1219,502923.2849,105
106,31N,06E,25,685278.5508,502869.4854,106
107,31N,06E,26,683686.5336,502815.7328,107
108,31N,06E,27,682076.7888,502746.8037,108
109,31N,06E,28,680461.7754,502688.6509,109
110,31N,05E,27,672388.7146,502409.5683,110
111,31N,05E,26,673925.7723,502414.8284,111
112,31N,05E,28,670799.5928,502363.0165,112
113,31N,05E,29,669197.45,502306.3142,113
114,31N,05E,30,667568.3206,502250.3145,114
115,31N,04E,25,665938.7985,502192.2452,115
116,31N,04E,26,664333.6912,502143.0882,116
117,31N,04E,27,662728.7915,502093.4108,117
118,31N,04E,28,661129.9466,502039.5723,118
119,31N,04E,29,659524.3895,501986.8848,119
120,31N,04E,30,657952.6874,501930.7849,120
